category	specific	generic
/b/bakery/shop	shopping and dining	indoor
/b/banquet_hall	shopping and dining	indoor
/b/bar	shopping and dining	indoor
/b/bazaar/indoor	shopping and dining	indoor
/b/beauty_salon	shopping and dining	indoor
/b/bistro/indoor	shopping and dining	indoor
/b/bookstore	shopping and dining	indoor
/b/butchers_shop	shopping and dining	indoor
/c/cafeteria	shopping and dining	indoor
/c/candy_store	shopping and dining	indoor
/c/clothing_store	shopping and dining	indoor
/c/coffee_shop	shopping and dining	indoor
/d/delicatessen	shopping and dining	indoor
/d/diner/indoor	shopping and dining	indoor
/d/discotheque	shopping and dining	indoor
/d/drugstore	shopping and dining	indoor
/e/escalator/indoor	shopping and dining	indoor
/f/fastfood_restaurant	shopping and dining	indoor
/f/florist_shop/indoor	shopping and dining	indoor
/f/food_court	shopping and dining	indoor
/g/general_store/indoor	shopping and dining	indoor
/g/gift_shop	shopping and dining	indoor
/i/ice_cream_parlor	shopping and dining	indoor
/j/jewelry_shop	shopping and dining	indoor
/m/market/indoor	shopping and dining	indoor
/m/music_store	shopping and dining	indoor
/p/pharmacy	shopping and dining	indoor
/p/pub/indoor	shopping and dining	indoor
/r/restaurant	shopping and dining	indoor
/r/restaurant_kitchen	shopping and dining	indoor
/s/shoe_shop	shopping and dining	indoor
/s/shopping_mall/indoor	shopping and dining	indoor
/s/supermarket	shopping and dining	indoor
/s/sushi_bar	shopping and dining	indoor
/t/thriftshop	shopping and dining	indoor
/t/ticket_booth	shopping and dining	indoor
/t/toyshop	shopping and dining	indoor
/v/videostore	shopping and dining	indoor
/w/wine_cellar/barrel_storage	shopping and dining	indoor
/w/wine_cellar/bottle_storage	shopping and dining	indoor
/a/anechoic_chamber	workplace (office building, factory, lab, etc.)	indoor
/a/assembly_line	workplace (office building, factory, lab, etc.)	indoor
/a/atrium/public	workplace (office building, factory, lab, etc.)	indoor
/a/auto_factory	workplace (office building, factory, lab, etc.)	indoor
/b/biology_laboratory	workplace (office building, factory, lab, etc.)	indoor
/b/booth/indoor	workplace (office building, factory, lab, etc.)	indoor
/b/brewery/indoor	workplace (office building, factory, lab, etc.)	indoor
/c/cheese_factory	workplace (office building, factory, lab, etc.)	indoor
/c/chemistry_lab	workplace (office building, factory, lab, etc.)	indoor
/c/chicken_coop/indoor	workplace (office building, factory, lab, etc.)	indoor
/c/clean_room	workplace (office building, factory, lab, etc.)	indoor
/c/computer_room	workplace (office building, factory, lab, etc.)	indoor
/c/conference_room	workplace (office building, factory, lab, etc.)	indoor
/c/control_room	workplace (office building, factory, lab, etc.)	indoor
/c/corridor	workplace (office building, factory, lab, etc.)	indoor
/c/cubicle/office	workplace (office building, factory, lab, etc.)	indoor
/d/dentists_office	workplace (office building, factory, lab, etc.)	indoor
/e/elevator/door	workplace (office building, factory, lab, etc.)	indoor
/e/elevator/interior	workplace (office building, factory, lab, etc.)	indoor
/e/elevator_shaft	workplace (office building, factory, lab, etc.)	indoor
/e/engine_room	workplace (office building, factory, lab, etc.)	indoor
/e/escalator/indoor	workplace (office building, factory, lab, etc.)	indoor
/f/factory/indoor	workplace (office building, factory, lab, etc.)	indoor
/g/greenhouse/indoor	workplace (office building, factory, lab, etc.)	indoor
/h/hospital_room	workplace (office building, factory, lab, etc.)	indoor
/k/kennel/indoor	workplace (office building, factory, lab, etc.)	indoor
/l/laundromat	workplace (office building, factory, lab, etc.)	indoor
/l/lobby	workplace (office building, factory, lab, etc.)	indoor
/o/office	workplace (office building, factory, lab, etc.)	indoor
/o/operating_room	workplace (office building, factory, lab, etc.)	indoor
/p/parking_garage/indoor	workplace (office building, factory, lab, etc.)	indoor
/p/physics_laboratory	workplace (office building, factory, lab, etc.)	indoor
/r/reception	workplace (office building, factory, lab, etc.)	indoor
/s/server_room	workplace (office building, factory, lab, etc.)	indoor
/s/stable	workplace (office building, factory, lab, etc.)	indoor
/s/staircase	workplace (office building, factory, lab, etc.)	indoor
/t/ticket_booth	workplace (office building, factory, lab, etc.)	indoor
/v/veterinarians_office	workplace (office building, factory, lab, etc.)	indoor
/w/waiting_room	workplace (office building, factory, lab, etc.)	indoor
/w/warehouse/indoor	workplace (office building, factory, lab, etc.)	indoor
/a/attic	home or hotel	indoor
/b/basement	home or hotel	indoor
/b/bathroom	home or hotel	indoor
/b/bedroom	home or hotel	indoor
/b/bow_window/indoor	home or hotel	indoor
/c/chicken_coop/indoor	home or hotel	indoor
/c/childs_room	home or hotel	indoor
/c/closet	home or hotel	indoor
/d/dinette/home	home or hotel	indoor
/d/dining_room	home or hotel	indoor
/d/dorm_room	home or hotel	indoor
/g/game_room	home or hotel	indoor
/g/garage/indoor	home or hotel	indoor
/h/home_office	home or hotel	indoor
/h/hotel_room	home or hotel	indoor
/k/kennel/indoor	home or hotel	indoor
/k/kitchen	home or hotel	indoor
/k/kitchenette	home or hotel	indoor
/l/laundromat	home or hotel	indoor
/l/living_room	home or hotel	indoor
/n/nursery	home or hotel	indoor
/p/pantry	home or hotel	indoor
/p/parlor	home or hotel	indoor
/p/playroom	home or hotel	indoor
/p/poolroom/home	home or hotel	indoor
/r/recreation_room	home or hotel	indoor
/r/restaurant_kitchen	home or hotel	indoor
/s/shower	home or hotel	indoor
/s/stable	home or hotel	indoor
/s/staircase	home or hotel	indoor
/u/utility_room	home or hotel	indoor
/w/wet_bar	home or hotel	indoor
/w/wine_cellar/barrel_storage	home or hotel	indoor
/w/wine_cellar/bottle_storage	home or hotel	indoor
/y/youth_hostel	home or hotel	indoor
/a/airplane_cabin	transportation (vehicle interiors, stations, etc.)	indoor
/a/airport_terminal	transportation (vehicle interiors, stations, etc.)	indoor
/b/baggage_claim	transportation (vehicle interiors, stations, etc.)	indoor
/b/berth	transportation (vehicle interiors, stations, etc.)	indoor
/b/bus_interior	transportation (vehicle interiors, stations, etc.)	indoor
/c/car_interior/backseat	transportation (vehicle interiors, stations, etc.)	indoor
/c/car_interior/frontseat	transportation (vehicle interiors, stations, etc.)	indoor
/c/cockpit	transportation (vehicle interiors, stations, etc.)	indoor
/d/dinette/vehicle	transportation (vehicle interiors, stations, etc.)	indoor
/d/dining_car	transportation (vehicle interiors, stations, etc.)	indoor
/e/engine_room	transportation (vehicle interiors, stations, etc.)	indoor
/e/escalator/indoor	transportation (vehicle interiors, stations, etc.)	indoor
/g/galley	transportation (vehicle interiors, stations, etc.)	indoor
/h/hangar/indoor	transportation (vehicle interiors, stations, etc.)	indoor
/l/limousine_interior	transportation (vehicle interiors, stations, etc.)	indoor
/p/pilothouse/indoor	transportation (vehicle interiors, stations, etc.)	indoor
/p/promenade_deck	transportation (vehicle interiors, stations, etc.)	indoor
/s/subway_interior	transportation (vehicle interiors, stations, etc.)	indoor
/s/subway_station/platform	transportation (vehicle interiors, stations, etc.)	indoor
/t/train_station/platform	transportation (vehicle interiors, stations, etc.)	indoor
/v/van_interior	transportation (vehicle interiors, stations, etc.)	indoor
/a/amusement_arcade	sports and leisure	indoor
/b/badminton_court/indoor	sports and leisure	indoor
/b/ball_pit	sports and leisure	indoor
/b/ballroom	sports and leisure	indoor
/b/bowling_alley	sports and leisure	indoor
/b/boxing_ring	sports and leisure	indoor
/c/casino/indoor	sports and leisure	indoor
/d/discotheque	sports and leisure	indoor
/f/firing_range/indoor	sports and leisure	indoor
/g/gymnasium/indoor	sports and leisure	indoor
/i/ice_skating_rink/indoor	sports and leisure	indoor
/j/jacuzzi/indoor	sports and leisure	indoor
/l/locker_room	sports and leisure	indoor
/m/martial_arts_gym	sports and leisure	indoor
/p/poolroom/establishment	sports and leisure	indoor
/r/riding_arena	sports and leisure	indoor
