set,scene,imgfile,seen,novel,novelmaybe,familiarmaybe,familiar
A,inside,sun_aaloiwdypreqzwnn.png,familiar,17,13,4,NA
A,inside,sun_aaloiwdypreqzwnn.png,novel,16,16,2,1
A,inside,sun_aawinctpjwdokiof.png,familiar,13,7,3,5
A,inside,sun_aawinctpjwdokiof.png,novel,21,10,9,NA
A,inside,sun_abhfieooonebxjrg.png,familiar,15,13,4,3
A,inside,sun_abhfieooonebxjrg.png,novel,27,8,1,NA
A,inside,sun_abmkzxvudrcajnle.png,familiar,17,10,3,6
A,inside,sun_abmkzxvudrcajnle.png,novel,21,11,2,NA
A,inside,sun_abnptawlxcjefrmi.png,familiar,26,8,5,5
A,inside,sun_abnptawlxcjefrmi.png,novel,9,14,3,NA
A,inside,sun_abpqxslcljhrwmck.png,familiar,12,11,7,3
A,inside,sun_abpqxslcljhrwmck.png,novel,15,11,6,1
A,inside,sun_abxzvqnkfecikftq.png,familiar,13,4,8,14
A,inside,sun_abxzvqnkfecikftq.png,novel,11,10,6,4
A,inside,sun_acfqbzkjnydmqtyi.png,familiar,9,12,4,4
A,inside,sun_acfqbzkjnydmqtyi.png,novel,18,12,11,1
A,inside,sun_adkonpxsblmtdukc.png,familiar,18,10,11,2
A,inside,sun_adkonpxsblmtdukc.png,novel,15,5,8,1
A,inside,sun_agvgmjswjlfrnaqe.png,familiar,24,14,3,5
A,inside,sun_agvgmjswjlfrnaqe.png,novel,12,8,3,NA
A,inside,sun_agxipqjrftuwlwpl.png,familiar,21,11,4,4
A,inside,sun_agxipqjrftuwlwpl.png,novel,19,9,3,NA
A,inside,sun_ahixsbikiamkdlxa.png,familiar,12,12,3,3
A,inside,sun_ahixsbikiamkdlxa.png,novel,21,7,9,2
A,inside,sun_ahnymjevjmixbypi.png,familiar,14,10,8,3
A,inside,sun_ahnymjevjmixbypi.png,novel,15,9,9,1
A,inside,sun_ahsovvjhbcyntaak.png,familiar,9,9,10,3
A,inside,sun_ahsovvjhbcyntaak.png,novel,16,12,5,7
A,inside,sun_ahvaoneopufydell.png,familiar,13,10,NA,3
A,inside,sun_ahvaoneopufydell.png,novel,22,12,8,1
A,inside,sun_akapxrydwpdgvlck.png,familiar,19,9,6,2
A,inside,sun_akapxrydwpdgvlck.png,novel,15,16,2,1
A,inside,sun_akihpnhiblchzhgq.png,familiar,13,9,2,9
A,inside,sun_akihpnhiblchzhgq.png,novel,26,9,1,1
A,inside,sun_akmrxobzlzsiuhog.png,familiar,11,6,7,4
A,inside,sun_akmrxobzlzsiuhog.png,novel,18,10,9,5
A,inside,sun_akrccmohqijaceco.png,familiar,14,10,5,4
A,inside,sun_akrccmohqijaceco.png,novel,14,12,7,3
A,inside,sun_anikjvdrxrywuyvr.png,familiar,11,14,6,3
A,inside,sun_anikjvdrxrywuyvr.png,novel,19,8,7,1
A,inside,sun_aqjtevapheavsuzi.png,familiar,19,12,3,2
A,inside,sun_aqjtevapheavsuzi.png,novel,19,14,2,NA
A,inside,sun_aqqqvkeocxjjbmvb.png,familiar,12,8,5,6
A,inside,sun_aqqqvkeocxjjbmvb.png,novel,15,9,10,3
A,inside,sun_artoiedgagfbgesn.png,familiar,17,11,NA,NA
A,inside,sun_artoiedgagfbgesn.png,novel,24,15,3,1
A,inside,sun_aryhzqtgzrsfoydv.png,familiar,21,14,3,5
A,inside,sun_aryhzqtgzrsfoydv.png,novel,12,11,3,NA
A,inside,sun_asizwxdltgasvzue.png,familiar,15,8,10,4
A,inside,sun_asizwxdltgasvzue.png,novel,11,10,9,2
A,inside,sun_atbyxovooehnzemf.png,familiar,21,15,6,2
A,inside,sun_atbyxovooehnzemf.png,novel,13,9,4,1
A,inside,sun_atkrisvsrzpbgyxu.png,familiar,13,14,9,1
A,inside,sun_atkrisvsrzpbgyxu.png,novel,18,9,4,1
A,inside,sun_atlilrtpaebzoyhp.png,familiar,16,5,2,8
A,inside,sun_atlilrtpaebzoyhp.png,novel,18,18,2,1
A,inside,sun_audojkeusubmhhcn.png,familiar,9,9,2,8
A,inside,sun_audojkeusubmhhcn.png,novel,17,17,7,1
