3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	1	29	17	57	47	UTC
3	TimeStamp	Monday, January 29, 2018, 12:57:47 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.017	107.263	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
12	 0.000000	iti_None_None
10	  0.0000	   0.0000	0.5524	0.2270	0.5720	0.2300	-1	0.2544	0.1850	0	0.1502	0	=,+,=,+
10	  0.0167	  16.6807	0.6732	0.2263	0.5989	0.2207	-1	0.2337	0.1889	0	0.1669	1	
10	  0.0334	  16.7150	0.6320	0.2282	0.6124	0.2275	-1	0.2385	0.1847	0	0.0167	2	
10	  0.0501	  16.6557	0.6575	0.3178	0.6288	0.2498	-1	0.2653	0.1740	0	0.0167	3	
10	  0.0668	  16.7006	0.6732	0.2263	0.6590	0.2497	2	0.2650	0.1874	0	0.0167	4	
10	  0.0834	  16.6601	0.5783	0.3107	0.6353	0.2708	-1	0.2493	0.1879	0	0.0167	5	
10	  0.1001	  16.6859	0.6320	0.2282	0.6353	0.2708	-1	0.2442	0.1788	0	0.0167	6	
10	  0.1168	  16.6827	0.6320	0.2282	0.6289	0.2483	-1	0.2751	0.1839	0	0.0334	7	
10	  0.1335	  16.7141	0.6732	0.2263	0.6289	0.2483	-1	0.2382	0.1682	0	0.0501	8	
10	  0.1501	  16.6197	0.6048	0.2663	0.6355	0.2372	-1	0.2458	0.1780	0	0.0667	9	
10	  0.1669	  16.7455	0.6732	0.2263	0.6458	0.2368	-1	0.2680	0.1990	0	0.0834	10	
10	  0.1835	  16.6531	0.6732	0.2263	0.6561	0.2363	2	0.2495	0.1830	0	0.1001	11	
10	  0.2002	  16.6801	0.6320	0.2282	0.6458	0.2368	-1	0.2733	0.1884	0	0.0167	12	
10	  0.2169	  16.6839	0.6174	0.3151	0.6490	0.2490	-1	0.2371	0.1839	0	0.0167	13	
10	  0.2336	  16.7158	0.6732	0.2263	0.6490	0.2490	-1	0.2237	0.1816	0	0.0167	14	
10	  0.2502	  16.6170	0.6296	0.3746	0.6381	0.2860	-1	0.2466	0.1783	0	0.0333	15	
10	  0.2670	  16.7487	0.6296	0.3746	0.6375	0.3227	-1	0.2241	0.1830	0	0.0501	16	
10	  0.2836	  16.6507	0.6174	0.3151	0.6375	0.3227	-1	0.2444	0.1883	0	0.0167	17	
10	  0.3003	  16.6833	0.6174	0.3151	0.6235	0.3448	-1	0.2205	0.1811	0	0.0333	18	
10	  0.3170	  16.6854	0.5906	0.3688	0.6138	0.3434	-1	0.2291	0.1867	0	0.0500	19	
10	  0.3337	  16.7120	0.6320	0.2282	0.6144	0.3068	-1	0.2859	0.1876	0	0.0667	20	
10	  0.3503	  16.6188	0.6450	0.2676	0.6213	0.2949	-1	0.2568	0.1976	0	0.0834	21	
