3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	2	16	19	59	12	UTC
3	TimeStamp	Friday, February 16, 2018, 2:59:12 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.5396	0.3854	0.5397	0.3851	-1	0.1994	0.1287	0	2.2355	0	=,+,=,+
12	 0.008506	iti_None_None
10	  0.0167	  16.7164	0.5400	0.3842	0.5398	0.3848	-1	0.2003	0.1788	0	2.2522	1	
10	  0.0333	  16.6164	0.5391	0.3866	0.5397	0.3851	-1	0.1968	0.1752	0	2.2689	2	
10	  0.0501	  16.7408	0.5400	0.3842	0.5397	0.3851	-1	0.2023	0.1853	0	2.2856	3	
10	  0.0667	  16.6299	0.5391	0.3866	0.5396	0.3854	-1	0.1953	0.1492	0	2.3022	4	
10	  0.0834	  16.7440	0.5400	0.3842	0.5396	0.3854	-1	0.2166	0.1888	0	2.3190	5	
10	  0.1001	  16.6519	0.5406	0.3873	0.5399	0.3856	-1	0.1929	0.1858	0	2.3356	6	
10	  0.1168	  16.6842	0.5400	0.3842	0.5399	0.3856	-1	0.1985	0.1824	0	2.3523	7	
10	  0.1335	  16.6810	0.5391	0.3866	0.5399	0.3856	-1	0.1997	0.1553	0	2.3690	8	
10	  0.1502	  16.7158	0.5400	0.3842	0.5399	0.3856	-1	0.1992	0.1737	0	2.3857	9	
10	  0.1668	  16.6226	0.5406	0.3873	0.5399	0.3856	-1	0.2058	0.1880	0	2.4023	10	
10	  0.1835	  16.7123	0.5391	0.3866	0.5397	0.3862	-1	0.1962	0.1757	0	2.4190	11	
10	  0.2002	  16.6880	0.5391	0.3866	0.5397	0.3862	-1	0.2071	0.1707	0	2.4357	12	
10	  0.2169	  16.6678	0.5406	0.3873	0.5399	0.3870	-1	0.2028	0.1769	0	2.4524	13	
10	  0.2336	  16.6818	0.5391	0.3866	0.5395	0.3868	-1	0.2033	0.1877	0	2.4691	14	
10	  0.2503	  16.7311	0.5396	0.3854	0.5396	0.3865	-1	0.2026	0.1879	0	2.4858	15	
10	  0.2669	  16.6167	0.5391	0.3866	0.5396	0.3865	-1	0.1984	0.1420	0	2.5024	16	
10	  0.2836	  16.7428	0.5411	0.3860	0.5397	0.3862	-1	0.2034	0.1949	0	2.5192	17	
10	  0.3003	  16.6337	0.5406	0.3873	0.5401	0.3863	-1	0.2064	0.1823	0	2.5358	18	
10	  0.3170	  16.7041	0.5411	0.3860	0.5405	0.3865	-1	0.2234	0.1785	0	2.5525	19	
10	  0.3337	  16.6818	0.5421	0.3879	0.5412	0.3868	-1	0.2119	0.1831	0	2.5692	20	
10	  0.3504	  16.6874	0.5425	0.3866	0.5416	0.3869	-1	0.1978	0.1963	0	2.5859	21	
