3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	5	11	15	10	55	UTC
3	TimeStamp	Friday, May 11, 2018, 11:10:55 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.7032	0.5313	0.8238	0.3990	0.1087	-1	0.2138	0.1890	0	0.0000	0	=,+,=,+
10	  0.0167	  16.6654	0.5646	0.8290	0.4404	0.2888	9	0.2086	0.1877	0	0.0000	1	
10	  0.0333	  16.6492	0.5338	0.5831	0.4638	0.3624	9	0.2112	0.1937	0	0.0166	2	
10	  0.0500	  16.7164	0.5748	0.8908	0.4915	0.4945	9	0.2159	0.1861	0	0.0000	3	
10	  0.0667	  16.6223	0.5450	0.7657	0.5049	0.5623	9	0.2123	0.1911	0	0.0166	4	
10	  0.0834	  16.7431	0.5533	0.8098	0.5170	0.6242	9	0.2087	0.1885	0	0.0334	5	
10	  0.1000	  16.6246	0.5316	0.8220	0.5207	0.6736	9	0.2125	0.1913	0	0.0166	6	
10	  0.1168	  16.7413	0.5589	0.7785	0.5302	0.6998	9	0.2138	0.1888	0	0.0167	7	
10	  0.1334	  16.6513	0.5397	0.7473	0.5326	0.7117	9	0.2105	0.1953	0	0.0167	8	
10	  0.1501	  16.6621	0.5581	0.7005	0.5390	0.7089	9	0.2044	0.1884	0	0.0167	9	
10	  0.1668	  16.7035	0.3639	-0.5995	0.4952	0.3818	9	0.2323	0.1861	0	0.0000	10	
10	  0.1834	  16.6583	0.5353	0.7602	0.5052	0.4764	9	0.2188	0.1711	0	0.0167	11	
10	  0.2002	  16.7176	0.5256	0.9132	0.5103	0.5856	9	0.2228	0.1784	0	0.0334	12	
10	  0.2169	  16.7058	0.5231	0.9075	0.5135	0.6661	9	0.2284	0.1637	0	0.0167	13	
10	  0.2335	  16.6522	0.4844	0.3942	0.5062	0.5981	9	0.2200	0.1545	0	0.0167	14	
10	  0.2502	  16.7129	0.5770	1.2051	0.5239	0.7498	9	0.2221	0.1419	0	0.0000	15	
10	  0.2669	  16.6513	0.5328	0.7517	0.5261	0.7503	9	0.2225	0.1091	0	0.0167	16	
10	  0.2836	  16.7170	-4.5516	-7.5226	-0.7433	-1.3179	-1	0.0314	0.0204	0	0.0000	17	
10	  0.3002	  16.5947	0.4807	5.5323	-0.4373	0.3946	-1	0.0398	0.0204	0	0.0000	18	
10	  0.3170	  16.7692	0.4807	5.5323	-0.4373	0.3946	-1	0.0398	0.0204	5	0.0000	19	
10	  0.3336	  16.6510	0.4807	5.5323	-0.4373	0.3946	-1	0.0398	0.0204	5	0.0000	20	
