3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	3	16	17	0	45	UTC
3	TimeStamp	Friday, March 16, 2018, 1:00:45 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	-0.1492	0.7794	0.4295	0.7299	-1	0.2454	0.2170	0	0.0000	0	=,+
10	  0.0137	  13.7479	0.8130	0.8116	0.4215	0.7381	-1	0.2506	0.2179	0	0.0137	1	
10	  0.0305	  16.7217	-0.1487	0.7363	0.2048	0.7525	-1	0.2357	0.2261	0	0.0000	2	
10	  0.0471	  16.6381	-0.0533	0.8600	0.1154	0.7968	-1	0.2622	0.2245	0	0.0166	3	
10	  0.0639	  16.7862	-0.1487	0.7363	0.1156	0.7860	-1	0.2460	0.2281	0	0.0334	4	
10	  0.0805	  16.6513	-0.1496	0.8234	-0.1251	0.7890	-1	0.2496	0.2272	0	0.0000	5	
10	  0.0973	  16.7378	-0.1492	0.7794	-0.1252	0.7998	-1	0.2506	0.2325	0	0.0167	6	
10	  0.1139	  16.5965	-0.1496	0.8234	-0.1493	0.7906	-1	0.2493	0.2297	0	0.0333	7	
10	  0.1306	  16.7680	-0.0994	0.6857	-0.1369	0.7780	-1	0.2439	0.2265	0	0.0501	8	
10	  0.1473	  16.6510	-0.1006	0.7729	-0.1247	0.7653	-1	0.2624	0.2268	0	0.0668	9	
10	  0.1640	  16.6637	-0.1487	0.7363	-0.1246	0.7546	-1	0.2535	0.2298	0	0.0834	10	
10	  0.1807	  16.7038	-0.1006	0.7729	-0.1123	0.7419	-1	0.2653	0.2244	0	0.0167	11	
10	  0.1974	  16.7126	-0.1492	0.7794	-0.1248	0.7654	-1	0.2371	0.2282	0	0.0167	12	
10	  0.2140	  16.6009	-0.1496	0.8234	-0.1370	0.7780	-1	0.2213	0.1426	0	0.0166	13	
10	  0.2307	  16.7651	-0.1001	0.7289	-0.1249	0.7761	-1	0.2472	0.2297	0	0.0168	14	
10	  0.2474	  16.6549	-0.1492	0.7794	-0.1370	0.7778	-1	0.2444	0.2400	0	0.0167	15	
10	  0.2641	  16.6595	-0.1487	0.7363	-0.1369	0.7670	-1	0.2539	0.2371	0	0.0167	16	
10	  0.2808	  16.7059	-0.1492	0.7794	-0.1368	0.7560	-1	0.2636	0.2293	0	0.0167	17	
10	  0.2975	  16.7138	-0.1480	0.6940	-0.1488	0.7473	-1	0.2600	0.2256	0	0.0167	18	
10	  0.3141	  16.5988	-0.0528	0.7679	-0.1247	0.7444	-1	0.2461	0.2313	0	0.0166	19	
10	  0.3308	  16.7100	-0.1487	0.7363	-0.1247	0.7444	-1	0.2397	0.2305	0	0.0167	20	
