3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	3	16	17	27	23	UTC
3	TimeStamp	Friday, March 16, 2018, 1:27:23 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	-0.7993	-0.2951	-0.8365	-0.2897	-1	0.2340	0.2004	0	0.0166	0	=,+,=,+
12	 0.009245	iti_None_None
10	  0.0168	  16.7730	-0.8644	-0.3861	-0.8439	-0.3390	-1	0.2272	0.1964	0	0.0168	1	
10	  0.0334	  16.6502	-0.8476	-0.2889	-0.8439	-0.3390	-1	0.2293	0.1892	0	0.0167	2	
10	  0.0501	  16.7158	-0.7520	-0.2994	-0.8158	-0.3174	-1	0.2326	0.2019	0	0.0334	3	
10	  0.0668	  16.6522	-0.7993	-0.2951	-0.8158	-0.3174	-1	0.2394	0.1949	0	0.0167	4	
10	  0.0835	  16.7150	-0.9126	-0.3817	-0.8279	-0.3163	-1	0.2174	0.2070	0	0.0334	5	
10	  0.1002	  16.6502	-0.6310	-0.1290	-0.7737	-0.2763	-1	0.2290	0.1882	0	0.0500	6	
10	  0.1169	  16.7156	-0.9126	-0.3817	-0.8139	-0.2969	-1	0.2414	0.1913	0	0.0167	7	
10	  0.1335	  16.6510	-0.7373	-0.2067	-0.7984	-0.2748	-1	0.2366	0.2049	0	0.0167	8	
10	  0.1502	  16.7150	-0.7993	-0.2951	-0.7700	-0.2531	-1	0.2331	0.1930	0	0.0167	9	
10	  0.1669	  16.6507	-0.7761	-0.0995	-0.8063	-0.2457	-1	0.2252	0.1966	0	0.0167	10	
10	  0.1836	  16.7329	-0.6900	-0.2129	-0.7507	-0.2035	-1	0.2454	0.1983	0	0.0167	11	
10	  0.2003	  16.6337	-0.7373	-0.2067	-0.7507	-0.2035	-1	0.2373	0.1926	0	0.0166	12	
10	  0.2170	  16.7150	-0.6437	-0.2171	-0.7117	-0.1840	-1	0.2184	0.1998	0	0.0333	13	
10	  0.2336	  16.5956	-0.7993	-0.2951	-0.7175	-0.2329	-1	0.2294	0.2026	0	0.0166	14	
10	  0.2503	  16.7689	-0.7993	-0.2951	-0.7449	-0.2535	-1	0.2413	0.1856	0	0.0168	15	
10	  0.2670	  16.6551	-0.6437	-0.2171	-0.7215	-0.2561	-1	0.2349	0.2036	0	0.0167	16	
10	  0.2836	  16.6590	-0.7993	-0.2951	-0.7604	-0.2756	-1	0.2304	0.1947	0	0.0167	17	
10	  0.3004	  16.7053	-0.7856	-0.1987	-0.7570	-0.2515	-1	0.2351	0.2018	0	0.0167	18	
10	  0.3171	  16.7126	-0.8476	-0.2889	-0.7690	-0.2499	-1	0.2385	0.2014	0	0.0167	19	
