3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	2	16	16	15	56	UTC
3	TimeStamp	Friday, February 16, 2018, 11:15:56 AM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	2.5866	3.1152	2.4592	3.0288	-1	0.3293	0.2333	0	0.0000	0	=,+,=,+
12	 0.015106	iti_None_None
10	  0.0167	  16.6730	2.5866	3.1152	2.4918	3.0505	-1	0.3186	0.2555	0	0.0167	1	
10	  0.0334	  16.7461	2.6223	3.0823	2.5956	3.1070	-1	0.3382	0.2232	0	0.0000	2	
10	  0.0500	  16.6194	2.5866	3.1152	2.5956	3.1070	-1	0.3333	0.2512	0	0.0166	3	
10	  0.0668	  16.7493	2.6223	3.0823	2.6045	3.0987	-1	0.3750	0.2710	0	0.0334	4	
10	  0.0834	  16.6161	2.5866	3.1152	2.6045	3.0987	-1	0.3296	0.2390	0	0.0500	5	
10	  0.1001	  16.7153	2.5866	3.1152	2.5956	3.1070	-1	0.3356	0.2592	0	0.0667	6	
10	  0.1168	  16.6991	2.5866	3.1152	2.5956	3.1070	-1	0.3301	0.2378	0	0.0834	7	
10	  0.1335	  16.6962	2.4562	3.0283	2.5540	3.0935	-1	0.3301	0.2559	0	0.1001	8	
10	  0.1501	  16.6217	2.5866	3.1152	2.5540	3.0935	-1	0.3750	0.2906	0	0.0166	9	
10	  0.1669	  16.7288	2.3297	2.9421	2.4898	3.0502	-1	0.3331	0.2457	0	0.0334	10	
10	  0.1835	  16.6692	2.5514	3.1497	2.4810	3.0588	-1	0.3710	0.2622	0	0.0167	11	
10	  0.2002	  16.6842	2.3297	2.9421	2.4494	3.0373	-1	0.3248	0.2345	0	0.0167	12	
10	  0.2169	  16.6578	2.4562	3.0283	2.4168	3.0156	-1	0.3297	0.2624	0	0.0167	13	
10	  0.2336	  16.7378	2.3297	2.9421	2.4168	3.0156	-1	0.3333	0.2219	0	0.0167	14	
10	  0.2502	  16.6205	2.4210	3.0619	2.3842	2.9936	-1	0.3314	0.2567	0	0.0334	15	
10	  0.2670	  16.7188	2.4562	3.0283	2.4158	3.0152	-1	0.3344	0.2627	0	0.0167	16	
10	  0.2836	  16.6789	2.5866	3.1152	2.4484	3.0369	-1	0.3305	0.2384	0	0.0167	17	
10	  0.3003	  16.6830	2.4918	2.9964	2.4889	3.0505	-1	0.3474	0.2471	0	0.0167	18	
10	  0.3170	  16.6566	2.5866	3.1152	2.5303	3.0638	-1	0.3285	0.2353	0	0.0167	19	
10	  0.3337	  16.7402	2.4918	2.9964	2.5392	3.0558	-1	0.3308	0.2520	0	0.0167	20	
10	  0.3503	  16.6208	2.5866	3.1152	2.5392	3.0558	-1	0.3740	0.2256	0	0.0166	21	
