3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	3	12	20	23	21	UTC
3	TimeStamp	Monday, March 12, 2018, 4:23:21 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	-0.1745	0.4382	-0.1717	0.3387	-1	0.2515	0.2326	0	0.0166	0	=,+,=,+
12	 0.015174	iti_None_None
10	  0.0167	  16.7109	-0.1725	0.3362	-0.1743	0.3646	-1	0.2504	0.2238	0	0.0167	1	
10	  0.0334	  16.7079	-0.1745	0.4382	-0.1709	0.3613	-1	0.2468	0.2320	0	0.0167	2	
10	  0.0501	  16.6622	-0.1875	0.3470	-0.1773	0.3899	-1	0.2527	0.2259	0	0.0167	3	
10	  0.0668	  16.7073	-0.1725	0.3362	-0.1767	0.3644	-1	0.2465	0.2234	0	0.0167	4	
10	  0.0835	  16.7129	-0.1875	0.3470	-0.1805	0.3671	-1	0.2458	0.2294	0	0.0167	5	
10	  0.1001	  16.5983	-0.1745	0.4382	-0.1805	0.3671	-1	0.2709	0.1956	0	0.0166	6	
10	  0.1169	  16.7660	-0.1554	0.3264	-0.1725	0.3620	-1	0.2436	0.2301	0	0.0334	7	
10	  0.1335	  16.6531	-0.1800	0.5536	-0.1744	0.4163	-1	0.2478	0.2360	0	0.0500	8	
10	  0.1502	  16.6607	-0.1554	0.3264	-0.1664	0.4112	-1	0.2436	0.2280	0	0.0167	9	
10	  0.1669	  16.7032	-0.1545	0.5246	-0.1613	0.4328	-1	0.2481	0.2307	0	0.0167	10	
10	  0.1836	  16.7164	-0.1725	0.3362	-0.1656	0.4352	-1	0.2504	0.2254	0	0.0167	11	
10	  0.2002	  16.6200	-0.1591	0.4263	-0.1604	0.4034	-1	0.2486	0.2326	0	0.0166	12	
10	  0.2170	  16.7475	-0.1788	0.2413	-0.1662	0.3821	-1	0.2472	0.2316	0	0.0167	13	
10	  0.2336	  16.6490	-0.1725	0.3362	-0.1707	0.3350	-1	0.2474	0.2257	0	0.0166	14	
10	  0.2503	  16.6622	-0.1788	0.2413	-0.1723	0.3113	-1	0.2488	0.2306	0	0.0167	15	
10	  0.2670	  16.7027	-0.1621	0.2326	-0.1730	0.2629	-1	0.2523	0.2264	0	0.0167	16	
10	  0.2837	  16.7164	-0.1434	0.2250	-0.1642	0.2588	-1	0.2516	0.2299	0	0.0167	17	
10	  0.3003	  16.5974	-0.1879	0.4511	-0.1681	0.2875	-1	0.2554	0.2322	0	0.0166	18	
10	  0.3171	  16.7698	-0.1434	0.2250	-0.1592	0.2834	-1	0.2433	0.2280	0	0.0168	19	
10	  0.3337	  16.6534	-0.1591	0.4263	-0.1585	0.3318	-1	0.2549	0.2322	0	0.0167	20	
