3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	3	23	15	17	57	UTC
3	TimeStamp	Friday, March 23, 2018, 11:17:57 AM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.1364	-0.8215	-0.0490	-0.8676	-1	0.2109	0.1783	0	0.0000	0	=,+,=,+
10	  0.0166	  16.5981	0.1173	-0.7654	0.0179	-0.8454	-1	0.2246	0.1978	0	0.0166	1	
12	 0.024984	iti_None_None
10	  0.0334	  16.7688	0.1930	-0.8370	0.0961	-0.8113	-1	0.2061	0.1353	0	0.0334	2	
10	  0.0500	  16.6524	0.0447	-0.8492	0.1228	-0.8183	-1	0.2137	0.1831	0	0.0167	3	
10	  0.0667	  16.6597	0.1173	-0.7654	0.1181	-0.8042	-1	0.2017	0.1739	0	0.0167	4	
10	  0.0834	  16.7069	0.0811	-0.8065	0.1090	-0.8145	-1	0.2092	0.1722	0	0.0167	5	
10	  0.1001	  16.7131	0.1725	-0.7809	0.1039	-0.8005	-1	0.2204	0.1920	0	0.0167	6	
10	  0.1167	  16.5967	0.1001	-0.8636	0.1177	-0.8041	-1	0.2081	0.1938	0	0.0166	7	
10	  0.1335	  16.7691	0.1364	-0.8215	0.1225	-0.8182	-1	0.1310	0.0754	0	0.0168	8	
10	  0.1501	  16.6503	0.1173	-0.7654	0.1315	-0.8079	-1	0.1979	0.1687	0	0.0167	9	
10	  0.1668	  16.6609	0.1364	-0.8215	0.1225	-0.8180	-1	0.2067	0.1905	0	0.0167	10	
10	  0.1835	  16.7049	0.1173	-0.7654	0.1268	-0.7935	-1	0.2000	0.1952	0	0.0167	11	
10	  0.2002	  16.7151	0.1364	-0.8215	0.1268	-0.7935	-1	0.2097	0.1966	0	0.0167	12	
10	  0.2168	  16.5969	0.0811	-0.8065	0.1178	-0.8037	-1	0.2109	0.2038	0	0.0333	13	
10	  0.2335	  16.7471	0.1725	-0.7809	0.1268	-0.7936	-1	0.2297	0.1913	0	0.0501	14	
10	  0.2502	  16.6729	-0.0094	-0.8351	0.0951	-0.8110	-1	0.2077	0.1935	0	0.0667	15	
10	  0.2669	  16.6600	0.0447	-0.8492	0.0722	-0.8179	-1	0.2065	0.1869	0	0.0167	16	
10	  0.2836	  16.7063	-0.0403	-0.7211	0.0419	-0.7966	-1	0.2222	0.1837	0	0.0167	17	
10	  0.3003	  16.7137	0.0811	-0.8065	0.0190	-0.8030	-1	0.1928	0.1112	0	0.0167	18	
10	  0.3169	  16.5972	-0.1135	-0.8082	-0.0070	-0.7962	-1	0.2228	0.1744	0	0.0166	19	
10	  0.3337	  16.7685	-0.1358	-0.9132	-0.0521	-0.8123	-1	0.1951	0.1880	0	0.0168	20	
