3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	5	24	15	35	15	UTC
3	TimeStamp	Thursday, May 24, 2018, 11:35:15 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.5945	0.4775	0.4211	0.5027	0.4027	9	0.2506	0.2369	0	0.0166	0	=,+,=,+
10	  0.0168	  16.7723	0.4053	0.3722	0.4783	0.3951	9	0.2580	0.2380	0	0.0168	1	
10	  0.0334	  16.6494	0.4421	0.4007	0.4692	0.3965	9	0.2572	0.2325	0	0.0166	2	
10	  0.0501	  16.6620	0.4164	0.4316	0.4560	0.4052	9	0.2614	0.2344	0	0.0167	3	
10	  0.0668	  16.7028	0.4378	0.2901	0.4515	0.3764	9	0.2625	0.2413	0	0.0167	4	
10	  0.0835	  16.7168	0.5112	0.4177	0.4664	0.3868	9	0.2630	0.2370	0	0.0167	5	
10	  0.1001	  16.5981	0.5139	0.2566	0.4783	0.3542	9	0.2603	0.2404	0	0.0166	6	
10	  0.1169	  16.7661	0.4716	0.4597	0.4766	0.3806	9	0.2629	0.2402	0	0.0168	7	
10	  0.1335	  16.6520	0.4274	0.3511	0.4643	0.3732	9	0.2587	0.2425	0	0.0167	8	
10	  0.1502	  16.6608	0.3970	0.5390	0.4475	0.4147	9	0.2531	0.2428	0	0.0167	9	
10	  0.1669	  16.7057	0.5442	0.3266	0.4717	0.3926	9	0.2600	0.2424	0	0.0167	10	
10	  0.1836	  16.7130	0.3896	0.3247	0.4512	0.3757	9	0.2672	0.2386	0	0.0167	11	
10	  0.2002	  16.5987	0.5001	0.3701	0.4634	0.3743	9	0.2616	0.2434	0	0.0166	12	
10	  0.2170	  16.7693	0.4149	0.4355	0.4513	0.3896	9	0.2588	0.2467	0	0.0168	13	
10	  0.2336	  16.6476	0.3762	0.3227	0.4325	0.3729	9	0.2742	0.2407	0	0.0166	14	
10	  0.2503	  16.6635	0.4398	0.4264	0.4343	0.3862	9	0.2548	0.2478	0	0.0167	15	
10	  0.2670	  16.7019	0.4482	0.3298	0.4378	0.3721	9	0.2653	0.2408	0	0.0167	16	
10	  0.2837	  16.7168	0.3551	0.4878	0.4171	0.4011	-1	0.2575	0.2483	0	0.0167	17	
10	  0.3003	  16.5978	0.4082	0.3921	0.4149	0.3988	-1	0.2663	0.2449	0	0.0166	18	
10	  0.3171	  16.7696	0.4033	0.4375	0.4120	0.4085	-1	0.2587	0.2501	0	0.0168	19	
10	  0.3337	  16.6491	0.3280	0.3542	0.3910	0.3949	-1	0.2623	0.2482	0	0.0166	20	
10	  0.3504	  16.6617	0.4090	0.4038	0.3955	0.3971	-1	0.2632	0.2498	0	0.0167	21	
