3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	5	17	21	41	16	UTC
3	TimeStamp	Thursday, May 17, 2018, 5:41:16 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.6586	0.7405	1.8189	0.5036	2.0015	-1	0.2667	0.1871	0	0.0167	0	=,+,=,+
10	  0.0167	  16.7052	0.0742	2.3303	0.3962	2.0837	-1	0.3051	0.1818	0	0.0000	1	
10	  0.0334	  16.7160	0.3007	2.6369	0.3723	2.2220	-1	0.2949	0.1829	0	0.0000	2	
10	  0.0501	  16.6515	0.3632	1.8633	0.3701	2.1323	-1	0.2811	0.1815	0	0.0167	3	
10	  0.0668	  16.7134	0.4857	2.2842	0.3990	2.1703	-1	0.2836	0.1950	0	0.0334	4	
10	  0.0834	  16.6533	0.4054	2.1781	0.4006	2.1722	-1	0.2744	0.1910	0	0.0167	5	
10	  0.1002	  16.7134	0.1829	1.9720	0.3461	2.1222	-1	0.2961	0.1835	0	0.0167	6	
10	  0.1167	  16.5923	-0.0145	1.6924	0.2560	2.0147	-1	0.3015	0.1724	0	0.0000	7	
10	  0.1335	  16.7735	0.3171	1.9989	0.2713	2.0108	-1	0.2883	0.1824	0	0.0168	8	
10	  0.1502	  16.6512	0.0153	2.1466	0.2073	2.0447	-1	0.2987	0.1812	0	0.0334	9	
10	  0.1669	  16.6841	0.1481	2.1257	0.1925	2.0650	-1	0.3011	0.1816	0	0.0167	10	
10	  0.1835	  16.6800	0.0664	2.8111	0.1610	2.2515	-1	0.2907	0.1936	0	0.0000	11	
10	  0.2002	  16.7158	0.1102	2.4082	0.1483	2.2907	-1	0.3043	0.1824	0	0.0167	12	
10	  0.2169	  16.6518	-0.0055	2.9409	0.1098	2.4532	-1	0.2937	0.1938	0	0.0000	13	
10	  0.2336	  16.7137	0.0640	2.3950	0.0984	2.4387	-1	0.2995	0.1828	0	0.0167	14	
10	  0.2503	  16.6509	-0.0473	2.3895	0.0619	2.4264	-1	0.2978	0.1850	0	0.0334	15	
10	  0.2670	  16.7160	0.0045	2.2884	0.0476	2.3919	-1	0.3036	0.1781	0	0.0167	16	
10	  0.2836	  16.6501	0.0587	2.7835	0.0504	2.4898	-1	0.2917	0.1950	0	0.0167	17	
10	  0.3003	  16.7172	0.0062	2.5012	0.0393	2.4927	-1	0.3034	0.1817	0	0.0167	18	
10	  0.3170	  16.6621	0.4218	2.5117	0.1350	2.4974	-1	0.2949	0.1918	0	0.0167	19	
10	  0.3337	  16.7017	0.1244	1.7336	0.1323	2.3065	-1	0.3102	0.1693	0	0.0000	20	
