3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	4	16	15	17	45	UTC
3	TimeStamp	Monday, April 16, 2018, 11:17:45 AM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.4142	0.7374	0.5156	0.7954	-1	0.1952	0.1548	1	0.0000	0	=,+,=,+
12	 0.017059	iti_None_None
10	  0.0167	  16.6826	0.4486	0.7577	0.4628	0.7612	-1	0.2175	0.1669	1	0.0167	1	
10	  0.0334	  16.7445	0.2847	0.6591	0.4195	0.7287	-1	0.2080	0.1513	1	0.0334	2	
10	  0.0501	  16.6580	0.4658	0.7905	0.4033	0.7361	-1	0.2032	0.1617	1	0.0167	3	
10	  0.0668	  16.6782	0.3565	0.6696	0.3889	0.7192	-1	0.1999	0.1526	1	0.0167	4	
10	  0.0834	  16.6380	0.5365	0.7823	0.4109	0.7254	-1	0.1783	0.1685	1	0.0166	5	
10	  0.1002	  16.7832	0.4345	0.7148	0.4483	0.7393	-1	0.2046	0.1535	1	0.0168	6	
10	  0.1168	  16.5967	0.5059	0.5266	0.4584	0.6733	-1	0.1860	0.1211	1	0.0166	7	
10	  0.1335	  16.7680	0.5208	0.7904	0.4994	0.7035	-1	0.1881	0.1549	1	0.0168	8	
10	  0.1502	  16.6905	0.6630	0.8325	0.5310	0.7161	-1	0.2029	0.1453	1	0.0167	9	
10	  0.1669	  16.6249	0.6448	0.8087	0.5836	0.7396	-1	0.2062	0.1675	1	0.0166	10	
10	  0.1835	  16.6574	0.6916	0.8886	0.6300	0.8301	-1	0.2177	0.1602	1	0.0167	11	
10	  0.2002	  16.6979	0.5098	0.8010	0.6273	0.8327	-1	0.2165	0.1666	1	0.0167	12	
10	  0.2169	  16.6325	0.7207	0.8877	0.6417	0.8465	-1	0.2132	0.1535	1	0.0166	13	
10	  0.2336	  16.7087	0.4550	0.7997	0.5943	0.8442	-1	0.2068	0.1709	1	0.0167	14	
10	  0.2502	  16.6507	0.3921	0.7082	0.5194	0.7991	-1	0.2015	0.1615	1	0.0167	15	
10	  0.2669	  16.7169	0.3918	0.6379	0.4899	0.7583	-1	0.1887	0.1515	1	0.0167	16	
10	  0.2836	  16.6504	5.3702	-0.0003	1.6523	0.5363	-1	0.0416	0.0292	1	0.0000	17	
10	  0.3003	  16.7160	0.4510	0.7737	1.6512	0.5299	-1	0.2078	0.1635	1	0.0167	18	
10	  0.3169	  16.6548	0.6862	0.8066	1.7248	0.5545	-1	0.2296	0.1560	1	0.0334	19	
10	  0.3337	  16.7114	0.6365	0.7935	1.7860	0.5934	-1	0.1940	0.1804	1	0.0167	20	
10	  0.3503	  16.6507	0.5314	0.7115	0.5763	0.7713	-1	0.2265	0.1837	1	0.0000	21	
