3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	4	26	22	24	45	UTC
3	TimeStamp	Thursday, April 26, 2018, 6:24:45 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	  16.6495	0.4426	0.8070	0.4921	0.7674	-1	0.3046	0.2540	1	0.0166	0	+,=,+
12	 0.010663	iti_None_None
10	  0.0167	  16.6856	0.5416	0.7859	0.5119	0.7748	-1	0.3096	0.2557	1	0.0167	1	
10	  0.0334	  16.6803	0.4109	0.7502	0.4715	0.7650	-1	0.3075	0.2610	1	0.0167	2	
10	  0.0501	  16.7146	0.5425	0.7665	0.4999	0.7656	-1	0.3095	0.2560	1	0.0167	3	
10	  0.0667	  16.6234	0.4050	1.1537	0.4619	0.9208	5	0.3055	0.2675	1	0.0000	4	
10	  0.0834	  16.7428	0.5909	0.8402	0.5135	0.8886	5	0.3024	0.2554	1	0.0167	5	
10	  0.1001	  16.6516	0.6560	0.6872	0.5705	0.8080	-1	0.2960	0.2439	1	0.0334	6	
10	  0.1168	  16.7217	0.5487	0.7504	0.5618	0.7850	-1	0.3100	0.2552	1	0.0167	7	
10	  0.1334	  16.6190	0.4548	0.7332	0.5190	0.7643	-1	0.3198	0.2548	1	0.0166	8	
10	  0.1502	  16.7111	0.5960	0.7032	0.5498	0.7398	-1	0.3018	0.2528	1	0.0167	9	
10	  0.1668	  16.6525	0.5985	0.6321	0.5693	0.6967	-1	0.2961	0.2459	1	0.0167	10	
10	  0.1835	  16.7140	0.5074	0.7605	0.5445	0.7222	-1	0.3043	0.2543	1	0.0167	11	
10	  0.2002	  16.6528	0.6518	0.6931	0.5874	0.7106	-1	0.2871	0.2498	1	0.0167	12	
10	  0.2169	  16.7138	0.4960	0.7024	0.5509	0.7073	-1	0.3073	0.2602	1	0.0167	13	
10	  0.2335	  16.6528	0.6392	0.7276	0.5862	0.7154	-1	0.2868	0.2468	1	0.0167	14	
10	  0.2503	  16.7146	0.3358	0.8204	0.4861	0.7574	-1	0.3085	0.2092	1	0.0000	15	
10	  0.2669	  16.6495	0.6094	0.6998	0.5354	0.7344	-1	0.2967	0.2481	1	0.0166	16	
10	  0.2836	  16.7155	0.5085	0.6647	0.5247	0.7065	-1	0.3018	0.2595	1	0.0334	17	
10	  0.3003	  16.6448	0.5867	0.6959	0.5495	0.7022	-1	0.2932	0.2466	1	0.0500	18	
10	  0.3170	  16.7736	0.5351	0.6661	0.5437	0.6878	-1	0.3027	0.2567	1	0.0668	19	
10	  0.3336	  16.5827	0.6044	0.9462	0.5680	0.7911	-1	0.2936	0.2559	1	0.0166	20	
