3	Product Version: PC-60
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:08:23
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	4	9	17	14	17	UTC
3	TimeStamp	Monday, April 09, 2018, 1:14:17 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.113	107.399	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	-0.0050	0.0128	0.0379	0.0452	-1	0.1976	0.1507	1	0.0501	0	=,+,=,+
12	 0.011693	iti_None_None
10	  0.0167	  16.7081	0.0371	0.0579	0.0094	0.0261	-1	0.2072	0.1557	1	0.0167	1	
10	  0.0334	  16.7184	-0.0081	-0.0044	0.0292	0.0319	-1	0.1998	0.1515	1	0.0167	2	
10	  0.0500	  16.5946	0.0445	0.0595	0.0171	0.0315	-1	0.2068	0.1550	1	0.0166	3	
10	  0.0668	  16.7688	0.1079	0.1141	0.0454	0.0568	-1	0.2199	0.1595	1	0.0168	4	
10	  0.0834	  16.6498	0.1876	0.1855	0.0830	0.0887	-1	0.2178	0.1697	1	0.0166	5	
10	  0.1001	  16.6636	0.1090	0.0779	0.1122	0.1092	-1	0.2122	0.1557	1	0.0167	6	
10	  0.1168	  16.7058	0.0153	0.0145	0.1049	0.0980	-1	0.2071	0.1518	1	0.0167	7	
10	  0.1335	  16.7140	0.1028	0.0866	0.1037	0.0911	-1	0.2054	0.1603	1	0.0167	8	
10	  0.1501	  16.5973	-0.0654	-0.0416	0.0404	0.0343	-1	0.2028	0.1531	1	0.0166	9	
10	  0.1669	  16.7682	0.1012	0.1137	0.0385	0.0433	-1	0.2158	0.1624	1	0.0168	10	
10	  0.1835	  16.6509	-0.0021	0.0026	0.0341	0.0403	-1	0.2093	0.1467	1	0.0167	11	
10	  0.2002	  16.6597	-0.0727	-0.0202	-0.0098	0.0136	-1	0.2104	0.1424	1	0.0167	12	
10	  0.2169	  16.7084	0.4846	0.2791	0.1277	0.0938	-1	0.2246	0.1805	1	0.0000	13	
10	  0.2336	  16.7117	0.0087	0.0363	0.1046	0.0745	-1	0.2081	0.1509	1	0.0167	14	
10	  0.2502	  16.5976	0.1561	0.0854	0.1442	0.0952	-1	0.2090	0.1570	1	0.0333	15	
10	  0.2670	  16.7694	0.0381	0.0612	0.1719	0.1155	-1	0.2090	0.1549	1	0.0168	16	
10	  0.2836	  16.6509	0.2380	0.1127	0.1103	0.0739	-1	0.2125	0.1644	1	0.0167	17	
10	  0.3003	  16.6609	0.0224	-0.0063	0.1137	0.0633	-1	0.2184	0.1410	1	0.0167	18	
10	  0.3170	  16.7046	-0.0138	0.0109	0.0712	0.0446	-1	0.1953	0.1513	1	0.0167	19	
10	  0.3337	  16.7155	0.0305	-0.0120	0.0693	0.0263	-1	0.2147	0.1422	1	0.0167	20	
