3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	5	14	22	54	58	UTC
3	TimeStamp	Monday, May 14, 2018, 6:54:58 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.7680	0.3673	0.5665	0.5444	0.2982	9	0.1371	0.1273	0	0.0168	0	=,+,=,+
10	  0.0167	  16.6507	0.6606	0.0796	0.5735	0.2436	-1	0.1377	0.1242	0	0.0167	1	
10	  0.0333	  16.6888	0.5587	0.5502	0.5698	0.3202	9	0.1322	0.1216	0	0.0167	2	
10	  0.0500	  16.6753	0.7987	0.1667	0.6270	0.2819	-1	0.1395	0.1301	0	0.0167	3	
10	  0.0667	  16.7173	0.2749	0.4417	0.5390	0.3218	9	0.1723	0.1275	0	0.0167	4	
10	  0.0833	  16.5970	1.2122	-0.0756	0.7073	0.2225	7	0.1574	0.1313	0	0.0000	5	
10	  0.1001	  16.7689	0.2926	0.4579	0.6036	0.2813	-1	0.1597	0.1295	0	0.0000	6	
10	  0.1167	  16.6504	0.2545	0.5128	0.5164	0.3392	9	0.1738	0.1349	0	0.0167	7	
10	  0.1334	  16.6627	0.2572	0.4993	0.4516	0.3792	9	0.1608	0.1317	0	0.0333	8	
10	  0.1501	  16.7035	0.2666	0.5003	0.4053	0.4095	-1	0.1711	0.1388	0	0.0167	9	
10	  0.1668	  16.7152	0.2826	0.5741	0.3747	0.4507	-1	0.1750	0.1337	0	0.0167	10	
10	  0.1834	  16.6164	0.4395	0.5126	0.3909	0.4661	-1	0.1484	0.1295	0	0.0166	11	
10	  0.2002	  16.7513	0.3931	0.4308	0.3914	0.4573	-1	0.1531	0.1223	0	0.0168	12	
10	  0.2168	  16.6478	0.4297	-0.1798	0.4010	0.2980	-1	0.2061	0.1384	0	0.0000	13	
10	  0.2336	  16.7161	0.2339	0.5844	0.3592	0.3696	-1	0.1806	0.1401	0	0.0167	14	
10	  0.2502	  16.6495	0.4022	0.1679	0.3700	0.3192	-1	0.1607	0.1485	0	0.0334	15	
10	  0.2669	  16.7152	0.3672	0.4757	0.3693	0.3583	-1	0.1939	0.1307	0	0.0167	16	
10	  0.2835	  16.6006	0.4821	0.5435	0.3975	0.4046	-1	0.1512	0.1428	0	0.0166	17	
10	  0.3003	  16.7665	0.3004	0.4079	0.3732	0.4054	-1	0.1969	0.1255	0	0.0168	18	
10	  0.3169	  16.6504	0.1854	0.5751	0.3262	0.4478	2,6	0.1635	0.1297	0	0.0167	19	
10	  0.3336	  16.6624	0.2965	0.3757	0.3188	0.4298	6	0.2033	0.1230	0	0.0167	20	
