3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	6	4	14	22	47	UTC
3	TimeStamp	Monday, June 04, 2018, 10:22:47 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.6480	0.4185	0.5864	0.3966	0.5790	-1	0.2570	0.2441	0	0.0166	0	=,+,=,+
12	 0.012919	iti_None_None
10	  0.0167	  16.7152	-0.2751	0.3673	0.2287	0.5261	2,6	0.3063	0.2387	0	0.0000	1	
10	  0.0334	  16.6548	0.2231	0.5508	0.2273	0.5323	2,6	0.2696	0.2436	0	0.0167	2	
10	  0.0501	  16.7108	-0.1147	0.4377	0.1418	0.5086	1,5	0.2959	0.2373	0	0.0334	3	
10	  0.0667	  16.6536	-0.1463	0.4045	0.0698	0.4826	1,5	0.2849	0.2365	0	0.0167	4	
10	  0.0834	  16.7125	0.4067	0.5699	0.1540	0.5044	1,5	0.2798	0.2361	0	0.0167	5	
10	  0.1001	  16.6518	-0.3277	0.3311	0.0336	0.4611	1,5	0.2860	0.2398	0	0.0000	6	
10	  0.1168	  16.7143	0.5006	0.5422	0.1503	0.4813	1,5	0.2708	0.2389	0	0.0000	7	
10	  0.1335	  16.6533	-0.1684	0.4137	0.0706	0.4644	1,5	0.2946	0.2352	0	0.0167	8	
10	  0.1502	  16.7119	0.5944	0.5492	0.2016	0.4856	2,6	0.2600	0.2404	0	0.0000	9	
10	  0.1668	  16.6518	0.2052	0.5451	0.2025	0.5005	2,6	0.2908	0.2342	0	0.0167	10	
10	  0.1835	  16.7137	0.0511	0.5006	0.1646	0.5005	5	0.2865	0.2411	0	0.0334	11	
10	  0.2002	  16.6536	0.1123	0.5205	0.1516	0.5055	1,5	0.3014	0.2338	0	0.0167	12	
10	  0.2169	  16.7146	0.4482	0.5829	0.2257	0.5249	2,6	0.2530	0.2492	0	0.0167	13	
10	  0.2336	  16.6507	0.5822	0.5126	0.3148	0.5218	2,6	0.2576	0.2392	0	0.0167	14	
10	  0.2503	  16.7266	0.4487	0.5827	0.3483	0.5370	-1	0.2575	0.2487	0	0.0167	15	
10	  0.2669	  16.6410	0.5127	0.5759	0.3894	0.5467	-1	0.2562	0.2402	0	0.0166	16	
10	  0.2836	  16.7119	0.5081	0.5755	0.4191	0.5539	-1	0.2585	0.2368	0	0.0167	17	
10	  0.3002	  16.5982	0.1198	0.5221	0.3443	0.5460	-1	0.2977	0.2293	0	0.0166	18	
10	  0.3170	  16.7697	0.5428	0.5722	0.3939	0.5525	-1	0.2526	0.2413	0	0.0168	19	
10	  0.3339	  16.8638	0.4859	0.5949	0.4169	0.5631	-1	0.2466	0.2355	0	0.0169	20	
