3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	5	21	15	57	35	UTC
3	TimeStamp	Monday, May 21, 2018, 11:57:35 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.6374	-0.1069	0.2054	-0.6076	-0.5757	-1	0.2428	0.1831	0	0.0000	0	+,=,+
12	 0.011932	iti_None_None
10	  0.0167	  16.7271	0.0481	-0.0184	-0.4436	-0.4364	-1	0.2152	0.1890	0	0.0000	1	
10	  0.0334	  16.6403	0.0720	0.3336	-0.3147	-0.2439	-1	0.2329	0.1795	0	0.0000	2	
10	  0.0501	  16.7171	-0.9652	-1.0281	-0.4774	-0.4399	-1	0.2535	0.1914	0	0.0000	3	
10	  0.0667	  16.6488	-0.0077	0.1925	-0.3599	-0.2818	-1	0.2322	0.1797	0	0.0000	4	
10	  0.0835	  16.7186	-0.0253	-0.0515	-0.2763	-0.2242	-1	0.2154	0.1849	0	0.0167	5	
10	  0.1001	  16.6500	-0.0004	0.2695	-0.2073	-0.1008	-1	0.2547	0.1760	0	0.0000	6	
10	  0.1168	  16.7280	-1.2650	-1.3981	-0.4717	-0.4251	-1	0.2635	0.1789	0	0.0000	7	
10	  0.1335	  16.6866	-13.6483	-12.6218	-3.7659	-3.4743	-1	0.2450	0.1243	0	0.0000	8	
10	  0.1502	  16.7174	-0.4819	-0.6025	-2.9449	-2.7564	-1	0.2266	0.1902	0	0.0000	9	
10	  0.1668	  16.5945	-0.9423	-0.9247	-2.4442	-2.2985	-1	0.2554	0.1876	0	0.0000	10	
10	  0.1836	  16.7711	-1.0775	-1.1314	-2.1026	-2.0067	-1	0.2582	0.1920	0	0.0000	11	
10	  0.2003	  16.6506	-0.1285	0.2278	-1.6090	-1.4481	-1	0.2615	0.1785	0	0.0000	12	
10	  0.2169	  16.6591	-0.3978	-0.3534	-1.3062	-1.1744	-1	0.2557	0.1898	0	0.0000	13	
10	  0.2336	  16.7074	-1.0871	-1.2076	-1.2514	-1.1827	-1	0.2564	0.1737	0	0.0167	14	
10	  0.2503	  16.7151	-0.6955	-0.7373	-1.1124	-1.0713	-1	0.2582	0.1911	0	0.0000	15	
10	  0.2669	  16.5948	-0.6870	-0.6512	-1.0061	-0.9663	-1	0.2484	0.1890	0	0.0000	16	
10	  0.2837	  16.7711	-0.0540	-0.3240	-0.7681	-0.8057	-1	0.2027	0.1841	0	0.0000	17	
10	  0.3003	  16.6514	-0.2509	-0.2429	-0.6388	-0.6650	-1	0.2432	0.1770	0	0.0000	18	
10	  0.3170	  16.6605	0.1050	0.3422	-0.4528	-0.4132	-1	0.2560	0.1866	0	0.0000	19	
