3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	7	2	16	26	23	UTC
3	TimeStamp	Monday, July 02, 2018, 12:26:23 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.6607	0.2347	0.4019	0.2981	0.1885	6	0.3374	0.2763	0	0.0333	0	=,+,=,+
10	  0.0167	  16.7041	0.2182	0.3041	0.2782	0.2174	6	0.3224	0.2794	0	0.0167	1	
10	  0.0334	  16.7149	0.1372	0.4102	0.2429	0.2656	6	0.3136	0.2857	0	0.0167	2	
10	  0.0500	  16.5991	0.2426	0.0184	0.2428	0.2038	6	0.3243	0.2762	0	0.0166	3	
10	  0.0668	  16.7680	0.1546	0.4376	0.2208	0.2623	6	0.3133	0.2821	0	0.0168	4	
10	  0.0834	  16.6492	0.1096	0.4705	0.1930	0.3143	6	0.3258	0.2768	0	0.0166	5	
10	  0.1001	  16.6630	0.0827	0.2745	0.1654	0.3044	5	0.3234	0.2864	0	0.0167	6	
10	  0.1168	  16.7032	0.2004	0.4602	0.1741	0.3433	6	0.3269	0.2801	0	0.0167	7	
10	  0.1335	  16.7155	0.0911	0.3541	0.1534	0.3460	5	0.3204	0.2814	0	0.0167	8	
10	  0.1501	  16.6196	0.3211	0.4443	0.1953	0.3706	6	0.3246	0.2898	0	0.0166	9	
10	  0.1669	  16.7451	0.1669	0.3544	0.1882	0.3665	6	0.3171	0.2829	0	0.0167	10	
10	  0.1835	  16.6533	0.1008	0.5312	0.1664	0.4077	5	0.3379	0.2797	0	0.0167	11	
10	  0.2002	  16.6607	0.2100	0.3548	0.1773	0.3945	6	0.3146	0.2770	0	0.0167	12	
10	  0.2169	  16.7052	0.2827	0.4534	0.2036	0.4092	6	0.3288	0.2917	0	0.0167	13	
10	  0.2336	  16.7152	0.1942	0.2274	0.2013	0.3638	6	0.3268	0.2690	0	0.0167	14	
10	  0.2502	  16.6020	0.3002	0.1780	0.2260	0.3173	6	0.3345	0.2767	0	0.0166	15	
10	  0.2670	  16.7627	0.4529	-0.2099	0.2827	0.1855	6	0.3291	0.2687	0	0.0000	16	
10	  0.2836	  16.6513	0.3772	-0.0689	0.3063	0.1219	6	0.3124	0.2756	0	0.0167	17	
10	  0.3003	  16.7167	0.4270	0.1522	0.3365	0.1295	6	0.3450	0.2672	0	0.0334	18	
10	  0.3170	  16.6484	0.2915	0.2482	0.3253	0.1591	6	0.3206	0.2752	0	0.0166	19	
10	  0.3337	  16.7164	0.3684	0.1994	0.3360	0.1692	6	0.3484	0.2632	0	0.0167	20	
10	  0.3503	  16.5973	0.4544	0.2196	0.3656	0.1818	-1	0.3153	0.2793	0	0.0166	21	
