3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	6	7	22	36	18	UTC
3	TimeStamp	Thursday, June 07, 2018, 6:36:18 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.7132	0.1810	0.9159	0.1390	0.8857	5	0.1749	0.1564	0	0.0167	0	=,+,=,+
10	  0.0166	  16.6003	-0.3580	0.8978	0.0148	0.8887	5	0.1828	0.1581	0	0.0000	1	
12	 0.032569	iti_None_None
10	  0.0333	  16.7070	-0.1014	0.8361	-0.0143	0.8756	-1	0.1724	0.1670	0	0.0167	2	
10	  0.0500	  16.7094	0.1339	0.8387	0.0228	0.8664	5	0.1750	0.1571	0	0.0334	3	
10	  0.0667	  16.6657	0.4026	0.3255	0.1177	0.7312	5	0.1784	0.1420	0	0.0000	4	
10	  0.0834	  16.7020	-0.4953	0.8709	-0.0355	0.7661	-1	0.1969	0.1628	0	0.0000	5	
10	  0.1002	  16.7756	-0.1938	0.9371	-0.0751	0.8088	-1	0.1741	0.1705	0	0.0168	6	
10	  0.1167	  16.5337	0.1097	0.9386	-0.0289	0.8413	-1	0.2340	0.1534	0	0.0333	7	
10	  0.1334	  16.7176	-0.0239	0.9900	-0.0277	0.8785	-1	0.1745	0.1606	0	0.0167	8	
10	  0.1501	  16.6504	0.1192	0.7169	0.0091	0.8381	-1	0.1929	0.1592	0	0.0167	9	
10	  0.1668	  16.7299	-0.0816	1.1088	-0.0136	0.9057	-1	0.1735	0.1586	0	0.0167	10	
10	  0.1834	  16.6580	-0.0078	0.6367	-0.0121	0.8385	-1	0.2076	0.1597	0	0.0167	11	
10	  0.2002	  16.7123	0.3828	0.6768	0.0866	0.7981	5	0.1845	0.1544	0	0.0000	12	
10	  0.2168	  16.6296	-1.0664	1.4008	-0.2017	0.9488	-1	0.2186	0.1320	0	0.0000	13	
10	  0.2335	  16.7143	-5.6048	6.3230	-1.5524	2.2923	-1	0.1534	0.0591	2	0.0000	14	
10	  0.2502	  16.6791	-7.8322	8.6367	-3.1224	3.8784	-1	0.0447	0.0200	2	0.0000	15	
10	  0.2669	  16.6847	-4.8871	7.5353	-3.5635	4.7926	-1	0.0307	0.0221	2	0.0000	16	
10	  0.2835	  16.6745	-4.7891	6.7594	-3.8699	5.2843	-1	0.1390	0.0597	2	0.0000	17	
10	  0.3003	  16.7140	-3.2125	5.8853	-3.7056	5.4346	-1	0.0577	0.0324	2	0.0000	18	
10	  0.3169	  16.6308	-1.9553	3.0256	-3.2680	4.8323	-1	0.2525	0.0938	0	0.0000	19	
10	  0.3336	  16.7217	-0.7201	2.6015	-2.6310	4.2746	-1	0.1998	0.1314	0	0.0000	20	
