3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	6	8	18	10	33	UTC
3	TimeStamp	Friday, June 08, 2018, 2:10:33 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.6067	0.1031	2.2639	0.1197	2.2910	-1	0.2127	0.1870	0	0.0166	0	=,+,=,+
10	  0.0168	  16.7583	0.0000	2.6039	0.0898	2.3693	-1	0.2132	0.1756	0	0.0168	1	
10	  0.0334	  16.6510	-0.1272	2.9346	0.0355	2.5106	-1	0.2120	0.1829	0	0.0000	2	
10	  0.0501	  16.6574	-0.0108	2.6483	0.0239	2.5450	-1	0.2055	0.1838	0	0.0167	3	
10	  0.0668	  16.7105	-0.0158	2.6711	0.0140	2.5766	-1	0.2231	0.1879	0	0.0334	4	
10	  0.0835	  16.7117	0.1339	2.2421	0.0440	2.4929	-1	0.2196	0.1927	0	0.0501	5	
10	  0.1001	  16.5771	0.1137	2.3693	0.0614	2.4620	-1	0.2235	0.1823	0	0.0166	6	
10	  0.1169	  16.7909	0.0520	2.5097	0.0591	2.4740	-1	0.2132	0.1880	0	0.0168	7	
10	  0.1335	  16.6507	0.0927	2.3887	0.0675	2.4526	-1	0.2158	0.1858	0	0.0167	8	
10	  0.1502	  16.6586	-0.2290	2.9275	-0.0066	2.5714	-1	0.2500	0.1783	0	0.0000	9	
10	  0.1669	  16.7067	0.1674	2.2447	0.0369	2.4897	-1	0.2126	0.1851	0	0.0167	10	
10	  0.1835	  16.6580	-0.3078	2.9591	-0.0493	2.6070	-1	0.2425	0.1696	0	0.0000	11	
10	  0.2002	  16.6340	0.3009	1.9432	0.0383	2.4411	-1	0.2141	0.1875	0	0.0000	12	
10	  0.2169	  16.7346	-0.3800	3.0703	-0.0663	2.5984	-1	0.2447	0.1794	0	0.0000	13	
10	  0.2336	  16.6756	0.2574	2.0094	0.0146	2.4511	-1	0.2087	0.1897	0	0.0000	14	
10	  0.2503	  16.6871	0.0250	2.5708	0.0172	2.4811	-1	0.2089	0.1892	0	0.0167	15	
10	  0.2670	  16.7102	0.2859	1.9476	0.0844	2.3477	-1	0.2053	0.1907	0	0.0000	16	
10	  0.2837	  16.7152	0.5539	1.2643	0.2018	2.0769	-1	0.2015	0.1848	0	0.0000	17	
10	  0.3003	  16.5912	0.4503	1.6154	0.2639	1.9615	-1	0.2027	0.1901	0	0.0000	18	
10	  0.3171	  16.7750	0.5085	1.3286	0.3250	1.8033	-1	0.2035	0.1868	0	0.0000	19	
10	  0.3337	  16.6510	0.7316	0.9391	0.4267	1.5872	-1	0.2061	0.1840	0	0.0000	20	
