3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	6	29	15	2	20	UTC
3	TimeStamp	Friday, June 29, 2018, 11:02:20 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
12	 0.000000	iti_None_None
10	  0.0000	  16.6519	0.2007	0.1309	0.1702	0.1507	6	0.2512	0.2111	0	0.0167	0	=,+,=,+
10	  0.0167	  16.6859	-0.0335	-0.1074	0.1192	0.0862	5	0.2648	0.2053	0	0.0167	1	
10	  0.0334	  16.6686	0.1555	0.2150	0.1283	0.1184	5	0.2493	0.2028	0	0.0167	2	
10	  0.0501	  16.7944	0.2612	0.3516	0.1615	0.1767	5	0.2417	0.1899	0	0.0168	3	
10	  0.0667	  16.5877	0.1271	0.1128	0.1529	0.1607	5	0.2483	0.2085	0	0.0166	4	
10	  0.0834	  16.6613	0.2658	0.2217	0.1811	0.1759	6	0.2458	0.1944	0	0.0167	5	
10	  0.1001	  16.6554	-0.6596	-0.5880	-0.0291	-0.0150	-1	0.2750	0.2089	0	0.0000	6	
10	  0.1168	  16.7519	0.1404	0.2850	0.0133	0.0600	5	0.2541	0.1975	0	0.0168	7	
10	  0.1335	  16.6715	-0.9462	-0.7422	-0.2266	-0.1406	-1	0.2742	0.2126	0	0.0000	8	
10	  0.1501	  16.6701	0.0157	0.1291	-0.1660	-0.0732	-1	0.2440	0.2193	0	0.0167	9	
10	  0.1668	  16.6513	-0.3666	-0.3975	-0.2161	-0.1542	-1	0.2618	0.2096	0	0.0333	10	
10	  0.1835	  16.6970	0.1282	0.2013	-0.1300	-0.0654	-1	0.2497	0.2177	0	0.0000	11	
10	  0.2002	  16.6566	0.0564	0.1931	-0.0834	-0.0007	-1	0.2404	0.2094	0	0.0167	12	
10	  0.2169	  16.7507	0.1418	0.2817	-0.0271	0.0699	-1	0.2501	0.2087	0	0.0334	13	
10	  0.2335	  16.6281	-0.0517	0.3079	-0.0333	0.1294	-1	0.2431	0.2054	0	0.0166	14	
10	  0.2502	  16.7058	-0.0605	0.2452	-0.0401	0.1583	-1	0.2572	0.2087	0	0.0167	15	
10	  0.2669	  16.6531	0.0398	0.2198	-0.0201	0.1737	-1	0.2266	0.2033	0	0.0167	16	
10	  0.2836	  16.7340	-0.0568	0.0593	-0.0293	0.1451	-1	0.2601	0.2039	0	0.0167	17	
10	  0.3003	  16.6592	0.0321	0.1600	-0.0139	0.1488	-1	0.2574	0.1914	0	0.0167	18	
10	  0.3170	  16.6877	-0.0825	-0.0597	-0.0311	0.0967	-1	0.2570	0.2026	0	0.0167	19	
10	  0.3336	  16.6715	-0.0243	0.2138	-0.0294	0.1260	-1	0.2509	0.2032	0	0.0167	20	
