3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	7	23	14	28	10	UTC
3	TimeStamp	Monday, July 23, 2018, 10:28:10 AM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.6578	0.1642	-0.5444	-0.1216	-0.3395	-1	0.2053	0.1637	0	0.0000	0	+,=,+
12	 0.017107	iti_None_None
10	  0.0167	  16.7048	0.1591	-0.4631	-0.0514	-0.3704	-1	0.2141	0.1744	0	0.0167	1	
10	  0.0334	  16.7171	0.4535	0.0636	0.0748	-0.2619	-1	0.2667	0.1463	2	0.0000	2	
10	  0.0500	  16.5945	0.2214	-0.4103	0.1115	-0.2990	-1	0.2112	0.1703	0	0.0166	3	
10	  0.0668	  16.7699	0.4625	0.0749	0.1992	-0.2055	-1	0.2691	0.1460	2	0.0000	4	
10	  0.0834	  16.6517	0.1663	-0.5336	0.1910	-0.2875	-1	0.2797	0.1563	0	0.0167	5	
10	  0.1001	  16.6605	0.4987	0.5296	0.2679	-0.0833	-1	0.2529	0.1164	2	0.0000	6	
10	  0.1168	  16.7068	0.0920	0.5301	0.2239	0.0701	6	0.3303	0.1114	2	0.0000	7	
10	  0.1335	  16.7136	-0.2582	-17.7770	0.1034	-4.3917	-1	0.0277	0.0162	2	0.0000	8	
10	  0.1501	  16.5965	-0.6337	0.1837	-0.0809	-3.2478	-1	0.3155	0.0643	0	0.0000	9	
10	  0.1669	  16.7701	-14.4590	-1.6957	-3.6754	-2.8598	-1	0.2477	0.0664	0	0.0000	10	
10	  0.1835	  16.6517	-4.7497	-4.4865	-3.9440	-3.2665	-1	0.1910	0.0662	2	0.0000	11	
10	  0.2002	  16.6608	-9.8519	-0.7581	-5.4210	-2.6394	-1	0.3045	0.0918	0	0.0000	12	
10	  0.2169	  16.7053	-0.5089	-1.3905	-4.1930	-2.3272	-1	0.3681	0.1066	0	0.0000	13	
10	  0.2336	  16.7165	-4.5888	-3.0619	-4.2919	-2.5108	-1	0.3070	0.1229	0	0.0000	14	
10	  0.2502	  16.5954	0.1365	0.5213	-3.1848	-1.7528	-1	0.3876	0.1266	2	0.0000	15	
10	  0.2670	  16.7684	0.4494	0.4010	-2.2763	-1.2144	-1	0.3424	0.1427	2	0.0000	16	
10	  0.2836	  16.6531	0.5797	0.4199	-1.5623	-0.8058	-1	0.3523	0.1098	2	0.0000	17	
10	  0.3003	  16.6590	0.3955	0.2035	-1.0728	-0.5535	-1	0.2832	0.1320	2	0.0000	18	
10	  0.3170	  16.7062	0.1313	-0.4060	-0.7718	-0.5166	-1	0.2633	0.1505	0	0.0000	19	
