3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	7	12	22	15	0	UTC
3	TimeStamp	Thursday, July 12, 2018, 6:15:00 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.7088	-0.1805	0.1109	-3.0297	33.1313	-1	0.2195	0.1890	0	0.0000	0	=,+,=,+
12	 0.013630	iti_None_None
10	  0.0167	  16.6519	-0.2409	0.0359	-2.3325	24.8574	-1	0.2093	0.2031	0	0.0000	1	
10	  0.0333	  16.6586	-0.2123	0.0602	-1.8025	18.6581	-1	0.2139	0.2013	0	0.0000	2	
10	  0.0500	  16.7070	-0.1497	0.0852	-1.3893	14.0149	-1	0.2113	0.2042	0	0.0000	3	
10	  0.0667	  16.7140	-0.2096	0.0856	-1.0944	10.5326	-1	0.2172	0.1999	0	0.0000	4	
10	  0.0833	  16.5953	-0.1275	0.1083	-0.8527	7.9265	-1	0.2032	0.2012	0	0.0000	5	
10	  0.1001	  16.7698	-0.1328	0.1102	-0.6727	5.9724	-1	0.2114	0.1983	0	0.0000	6	
10	  0.1167	  16.6528	-0.1097	0.1068	-0.5319	4.5060	-1	0.2084	0.1963	0	0.0000	7	
10	  0.1335	  16.7278	-0.0539	0.1396	-0.4124	3.4144	-1	0.2083	0.2006	0	0.0000	8	
10	  0.1501	  16.6363	-0.0874	0.1223	-0.3312	2.5914	-1	0.2074	0.1967	0	0.0000	9	
10	  0.1668	  16.7170	-0.0402	0.1519	-0.2584	1.9815	-1	0.2113	0.1989	0	0.0000	10	
10	  0.1835	  16.6487	-0.0747	0.1500	-0.2125	1.5236	-1	0.2060	0.1980	0	0.0000	11	
10	  0.2002	  16.7149	-0.0584	0.1355	-0.1740	1.1766	-1	0.2083	0.2052	0	0.0000	12	
10	  0.2168	  16.6545	-0.0556	0.1342	-0.1444	0.9160	-1	0.2044	0.2018	0	0.0000	13	
10	  0.2336	  16.7129	-0.0486	0.1389	-0.1204	0.7217	-1	0.2095	0.2042	0	0.0000	14	
10	  0.2502	  16.6504	-0.0877	0.1226	-0.1123	0.5719	-1	0.2016	0.2001	0	0.0000	15	
10	  0.2669	  16.7161	-0.1028	0.1278	-0.1099	0.4609	-1	0.2106	0.2016	0	0.0167	16	
10	  0.2835	  16.5950	-0.0729	0.1472	-0.1007	0.3825	-1	0.2038	0.2009	0	0.0333	17	
10	  0.3003	  16.7718	-0.0395	0.1443	-0.0854	0.3229	-1	0.2108	0.1999	0	0.0168	18	
10	  0.3169	  16.6507	0.0065	0.1621	-0.0624	0.2827	-1	0.2065	0.1987	0	0.0167	19	
10	  0.3337	  16.7120	-0.0721	0.1471	-0.0648	0.2488	-1	0.2100	0.2017	0	0.0167	20	
