3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	7	13	19	36	15	UTC
3	TimeStamp	Friday, July 13, 2018, 3:36:15 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	  16.5957	10.3426	12.7159	9.5511	11.9130	-1	0.2423	0.1851	0	0.0000	0	+,=,+
12	 0.009145	iti_None_None
10	  0.0168	  16.7684	8.1819	10.6388	9.2088	11.5944	-1	0.2426	0.1903	0	0.0000	1	
10	  0.0334	  16.6534	10.1510	12.8946	9.4443	11.9195	-1	0.2401	0.2002	0	0.0000	2	
10	  0.0501	  16.6596	9.3065	11.5963	9.4099	11.8387	-1	0.2407	0.1847	0	0.0167	3	
10	  0.0668	  16.7045	9.0442	11.2315	9.3185	11.6869	-1	0.2407	0.1856	0	0.0000	4	
10	  0.0835	  16.7150	10.2228	12.5161	9.5445	11.8942	-1	0.2399	0.1899	0	0.0000	5	
10	  0.1001	  16.5986	11.2774	13.3360	9.9778	12.2546	-1	0.2448	0.1811	0	0.0000	6	
10	  0.1169	  16.7678	8.6663	11.2243	9.6499	11.9970	-1	0.2369	0.2018	0	0.0000	7	
10	  0.1335	  16.6531	10.3757	12.8121	9.8314	12.2008	-1	0.2417	0.1906	0	0.0000	8	
10	  0.1502	  16.6596	9.5983	12.1380	9.7731	12.1851	-1	0.2355	0.2046	0	0.0167	9	
10	  0.1669	  16.7065	9.5464	11.9413	9.7164	12.1242	-1	0.2423	0.1922	0	0.0334	10	
10	  0.1836	  16.7141	10.7525	13.4364	9.9754	12.4522	-1	0.2405	0.2059	0	0.0000	11	
10	  0.2002	  16.5974	9.6105	11.5603	9.8842	12.2292	-1	0.2461	0.1743	0	0.0000	12	
10	  0.2170	  16.7666	5.9621	7.6351	8.9037	11.0807	-1	0.2374	0.1762	0	0.0000	13	
10	  0.2336	  16.6546	10.3356	12.8320	9.2617	11.5185	-1	0.2414	0.1978	0	0.0000	14	
10	  0.2503	  16.6590	9.9314	12.5209	9.4291	11.7691	-1	0.2463	0.1951	0	0.0000	15	
10	  0.2670	  16.7059	9.4204	11.8086	9.4269	11.7790	-1	0.2357	0.1978	0	0.0167	16	
10	  0.2837	  16.7156	10.3515	12.8655	9.6581	12.0506	-1	0.2373	0.2010	0	0.0000	17	
10	  0.3003	  16.5960	9.8854	12.2658	9.7149	12.1044	-1	0.2351	0.1927	0	0.0166	18	
10	  0.3171	  16.7678	8.5073	10.9417	9.4130	11.8137	-1	0.2416	0.1911	0	0.0000	19	
10	  0.3337	  16.6534	8.4333	11.1827	9.1681	11.6560	-1	0.2455	0.1973	0	0.0000	20	
