3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	9	13	21	15	9	UTC
3	TimeStamp	Thursday, September 13, 2018, 5:15:09 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	MGSEncMem.bmp
10	  0.0000	  16.6858	-2.1650	0.5383	-1.6870	0.5199	-1	0.2355	0.1559	0	0.0000	0	+,=,=,+,+
10	  0.0166	  16.6359	-1.8594	0.4410	-1.7301	0.5001	-1	0.2374	0.1628	0	0.0166	1	
10	  0.0334	  16.7154	-3.0169	0.6577	-2.0518	0.5395	-1	0.2338	0.1501	0	0.0000	2	
10	  0.0500	  16.6764	-2.4334	0.5321	-2.1472	0.5377	-1	0.2351	0.1490	0	0.0167	3	
10	  0.0668	  16.7585	-2.7768	0.8086	-2.3046	0.6054	-1	0.2305	0.1355	0	0.0000	4	
10	  0.0834	  16.6477	-2.9240	0.7775	-2.4595	0.6484	-1	0.2303	0.1425	0	0.0000	5	
10	  0.1001	  16.6867	-3.2189	0.9376	-2.6493	0.7207	-1	0.2222	0.1261	0	0.0000	6	
10	  0.1168	  16.7081	-2.3370	1.0283	-2.5712	0.7976	-1	0.2203	0.1244	0	0.0167	7	
10	  0.1336	  16.7257	-3.9682	1.2297	-2.9205	0.9056	-1	0.2159	0.1139	0	0.0000	8	
10	  0.1501	  16.5811	-4.1646	1.0018	-3.2315	0.9297	-1	0.2392	0.1176	0	0.0000	9	
10	  0.1669	  16.7694	0.0954	0.2748	-2.3998	0.7660	-1	0.0272	0.0225	0	0.0000	10	
10	  0.1836	  16.6515	-4.3218	0.8655	-2.8803	0.7908	-1	0.2310	0.1159	0	0.0000	11	
10	  0.2002	  16.6617	-0.0436	0.3351	-2.1711	0.6769	-1	0.0246	0.0187	0	0.0000	12	
10	  0.2169	  16.7054	-0.4631	0.3272	-1.7441	0.5895	-1	0.0262	0.0169	0	0.0000	13	
10	  0.2336	  16.7134	-4.1390	1.2055	-2.3428	0.7435	-1	0.2275	0.1286	0	0.0000	14	
10	  0.2502	  16.5996	-2.8086	0.9390	-2.4593	0.7923	-1	0.2280	0.1394	0	0.0000	15	
10	  0.2670	  16.7682	-2.3613	0.7868	-2.4348	0.7910	-1	0.2289	0.1312	0	0.0168	16	
10	  0.2837	  16.6500	-3.1038	0.8104	-2.6020	0.7958	-1	0.2231	0.1463	0	0.0000	17	
10	  0.3003	  16.6612	-3.3098	1.0407	-2.7790	0.8570	-1	0.2246	0.1443	0	0.0000	18	
10	  0.3170	  16.7049	-3.9122	0.8249	-3.0623	0.8490	-1	0.2260	0.1343	0	0.0000	19	
10	  0.3337	  16.7154	-3.7033	0.9729	-3.2225	0.8800	-1	0.2270	0.1417	0	0.0000	20	
