3	Product Version: PC-60
3	Executable File Version: 2.9.5,125 
3	Program Build Date: Dec  8 2016,  11:30:41
3	Customer Serial Number:  200-1509-1-1
3	Customer Name:  AVOTEC, INC 
3	Customer Organization:  AVOTEC, INC 
3	--------------------------------------------------------
3	TimeValues	2018	9	7	18	25	16	UTC
3	TimeStamp	Friday, September 07, 2018, 2:25:16 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.857	107.143	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	7
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
10	  0.0000	  16.7147	-0.1131	1.1069	0.0842	0.0105	5	0.2811	0.2107	0	0.0000	0	=,=,+
16	 0.016163	MGSEncMem.bmp
10	  0.0167	  16.6575	0.0718	-0.0355	0.0811	-0.0010	-1	0.3016	0.2025	0	0.0167	1	+
10	  0.0333	  16.6757	0.0176	1.0240	0.0652	0.2553	5	0.2819	0.2112	0	0.0000	2	
10	  0.0500	  16.6502	-0.0289	0.6373	0.0417	0.3508	5	0.2888	0.1917	0	0.0167	3	
10	  0.0667	  16.7329	0.0877	0.0298	0.0532	0.2705	5	0.2787	0.1838	0	0.0334	4	
10	  0.0834	  16.7065	0.0289	0.1877	0.0471	0.2498	5	0.2920	0.1900	0	0.0167	5	
10	  0.1001	  16.6508	0.2949	-0.8843	0.1090	-0.0337	-1	0.2699	0.1851	0	0.0000	6	
10	  0.1167	  16.6643	-0.0745	0.7980	0.0631	0.1742	5	0.2847	0.2049	0	0.0000	7	
10	  0.1335	  16.7587	0.0846	0.3006	0.0685	0.2058	5	0.2842	0.1796	0	0.0168	8	
10	  0.1501	  16.5963	0.0152	0.2570	0.0552	0.2186	5	0.2759	0.2006	0	0.0334	9	
10	  0.1668	  16.7115	0.5227	-0.2021	0.1721	0.1134	6	0.2396	0.1860	0	0.0000	10	
10	  0.1835	  16.6505	-0.0174	0.9710	0.1247	0.3278	5	0.2773	0.1955	0	0.0000	11	
10	  0.2002	  16.7138	0.0360	0.4308	0.1025	0.3536	5	0.2900	0.2040	0	0.0167	12	
10	  0.2168	  16.6584	-0.0304	0.9888	0.0693	0.5124	1,5	0.2933	0.1940	0	0.0000	13	
10	  0.2335	  16.7074	0.1328	-0.1383	0.0852	0.3497	5	0.3018	0.1871	0	0.0000	14	
10	  0.2502	  16.6520	-0.0176	1.0695	0.0595	0.5296	1,5	0.3068	0.1937	0	0.0000	15	
10	  0.2669	  16.7150	0.7588	-0.4297	0.2343	0.2898	6	0.2086	0.2020	0	0.0000	16	
10	  0.2836	  16.6514	0.5238	-1.7295	0.3067	-0.2150	-1	0.3174	0.1910	0	0.0000	17	
10	  0.3003	  16.7009	0.0208	0.2599	0.2352	-0.0963	-1	0.3088	0.2030	0	0.0000	18	
10	  0.3169	  16.6622	0.7161	-0.1873	0.3554	-0.1191	-1	0.2090	0.1833	0	0.0000	19	
10	  0.3336	  16.7194	0.7513	-1.7616	0.4544	-0.5297	-1	0.2445	0.2027	0	0.0000	20	
